p1,p2,ptype,fid1,fid2,tags,set,nsamples,pp,new_type,old_tags,label
F0601/MID9,F0601/MID11,fd,F0601,F0601,565,0,1260,F0601.MID9.MID11,,fd,1
F0618/MID4,F0618/MID3,md,F0618,F0618,581,0,5,F0618.MID4.MID3,,md,3
F0765/MID2,F0765/MID4,ms,F0765,F0765,721,0,9,F0765.MID2.MID4,,ms,2
F0604/MID2,F0604/MID4,md,F0604,F0604,568,0,2,F0604.MID2.MID4,,md,3
F0215/MID1,F0215/MID3,fd,F0215,F0215,203,0,6,F0215.MID1.MID3,,fd,1
F0933/MID1,F0933/MID4,fd,F0933,F0933,885,0,72,F0933.MID1.MID4,,fd,1
F0076/MID2,F0076/MID4,fs,F0076,F0076,69,0,30,F0076.MID2.MID4,,fs,0
F0043/MID1,F0043/MID2,md,F0043,F0043,38,0,54,F0043.MID1.MID2,,md,3
F0010/MID1,F0010/MID3,fs,F0010,F0010,9,0,48,F0010.MID1.MID3,,fs,0
F0635/MID1,F0635/MID5,fd,F0635,F0635,597,0,40,F0635.MID1.MID5,,fd,1
F0941/MID2,F0941/MID3,ms,F0941,F0941,893,0,24,F0941.MID2.MID3,,ms,2
F0821/MID1,F0821/MID4,fd,F0821,F0821,775,0,27,F0821.MID1.MID4,,fd,1
F0206/MID7,F0206/MID9,md,F0206,F0206,194,0,12,F0206.MID7.MID9,,md,3
F0987/MID5,F0987/MID7,fd,F0987,F0987,939,0,30,F0987.MID5.MID7,,fd,1
F0961/MID1,F0961/MID4,fs,F0961,F0961,913,0,36,F0961.MID1.MID4,,fs,0
F0101/MID3,F0101/MID1,fs,F0101,F0101,94,0,50,F0101.MID3.MID1,,fs,0
F0884/MID1,F0884/MID3,fs,F0884,F0884,837,0,56,F0884.MID1.MID3,,fs,0
F0156/MID2,F0156/MID4,md,F0156,F0156,147,0,21,F0156.MID2.MID4,,md,3
F0598/MID1,F0598/MID4,fd,F0598,F0598,562,0,55,F0598.MID1.MID4,,fd,1
F0601/MID19,F0601/MID7,ms,F0601,F0601,565,0,4134,F0601.MID19.MID7,,ms,2
F0814/MID3,F0814/MID2,fs,F0814,F0814,768,0,40,F0814.MID3.MID2,,fs,0
F0262/MID2,F0262/MID3,ms,F0262,F0262,246,0,30,F0262.MID2.MID3,,ms,2
F0714/MID2,F0714/MID4,ms,F0714,F0714,670,0,60,F0714.MID2.MID4,,ms,2
F0960/MID2,F0960/MID3,md,F0960,F0960,912,0,48,F0960.MID2.MID3,,md,3
F0260/MID1,F0260/MID2,fd,F0260,F0260,245,0,24,F0260.MID1.MID2,,fd,1
F0486/MID3,F0486/MID1,fd,F0486,F0486,455,0,60,F0486.MID3.MID1,,fd,1
F0296/MID4,F0296/MID1,fd,F0296,F0296,277,0,18,F0296.MID4.MID1,,fd,1
F0124/MID3,F0124/MID2,md,F0124,F0124,116,0,14,F0124.MID3.MID2,,md,3
F0806/MID1,F0806/MID5,ms,F0806,F0806,760,0,60,F0806.MID1.MID5,,ms,2
F0783/MID3,F0783/MID4,fs,F0783,F0783,738,0,35,F0783.MID3.MID4,,fs,0
F0704/MID1,F0704/MID5,fd,F0704,F0704,663,0,24,F0704.MID1.MID5,,fd,1
F0978/MID4,F0978/MID2,fd,F0978,F0978,930,0,4,F0978.MID4.MID2,,fd,1
F0002/MID2,F0002/MID3,md,F0002,F0002,1,0,81,F0002.MID2.MID3,,md,3
F0518/MID4,F0518/MID2,fd,F0518,F0518,485,0,18,F0518.MID4.MID2,,fd,1
F1007/MID1,F1007/MID3,fd,F1007,F1007,958,0,48,F1007.MID1.MID3,,fd,1
F0377/MID2,F0377/MID1,fd,F0377,F0377,353,0,70,F0377.MID2.MID1,,fd,1
F0152/MID6,F0152/MID3,fd,F0152,F0152,143,0,3,F0152.MID6.MID3,,fd,1
F0790/MID6,F0790/MID3,ms,F0790,F0790,745,0,9,F0790.MID6.MID3,,ms,2
F0489/MID1,F0489/MID2,fs,F0489,F0489,458,0,48,F0489.MID1.MID2,,fs,0
F0073/MID2,F0073/MID1,md,F0073,F0073,66,0,64,F0073.MID2.MID1,,md,3
F0552/MID2,F0552/MID6,md,F0552,F0552,519,0,48,F0552.MID2.MID6,,md,3
F0191/MID2,F0191/MID3,md,F0191,F0191,180,0,14,F0191.MID2.MID3,,md,3
F0442/MID3,F0442/MID4,fd,F0442,F0442,414,0,6,F0442.MID3.MID4,,fd,1
F0476/MID4,F0476/MID2,md,F0476,F0476,446,0,10,F0476.MID4.MID2,,md,3
F0326/MID4,F0326/MID1,fs,F0326,F0326,305,0,10,F0326.MID4.MID1,,fs,0
F0101/MID3,F0101/MID5,fs,F0101,F0101,94,0,20,F0101.MID3.MID5,,fs,0
F0767/MID1,F0767/MID6,fs,F0767,F0767,723,0,77,F0767.MID1.MID6,,fs,0
F0171/MID8,F0171/MID1,ms,F0171,F0171,162,0,7,F0171.MID8.MID1,,ms,2
F0033/MID1,F0033/MID4,fs,F0033,F0033,28,0,28,F0033.MID1.MID4,,fs,0
F0209/MID1,F0209/MID2,fd,F0209,F0209,197,0,24,F0209.MID1.MID2,,fd,1
F0848/MID5,F0848/MID4,md,F0848,F0848,802,0,70,F0848.MID5.MID4,,md,3
F0733/MID1,F0733/MID5,fd,F0733,F0733,689,0,8,F0733.MID1.MID5,,fd,1
F0576/MID3,F0576/MID1,ms,F0576,F0576,542,0,49,F0576.MID3.MID1,,ms,2
F0118/MID1,F0118/MID6,fd,F0118,F0118,110,0,240,F0118.MID1.MID6,,fd,1
F0297/MID1,F0297/MID4,ms,F0297,F0297,278,0,50,F0297.MID1.MID4,,ms,2
F0415/MID3,F0415/MID1,fs,F0415,F0415,387,0,18,F0415.MID3.MID1,,fs,0
F0197/MID1,F0197/MID3,ms,F0197,F0197,186,0,70,F0197.MID1.MID3,,ms,2
F0964/MID3,F0964/MID1,fs,F0964,F0964,916,0,27,F0964.MID3.MID1,,fs,0
F0748/MID1,F0748/MID3,md,F0748,F0748,704,0,32,F0748.MID1.MID3,,md,3
F0454/MID2,F0454/MID3,fd,F0454,F0454,426,0,24,F0454.MID2.MID3,,fd,1
F0887/MID7,F0887/MID5,ms,F0887,F0887,840,0,2,F0887.MID7.MID5,,ms,2
F0299/MID2,F0299/MID4,ms,F0299,F0299,280,0,19,F0299.MID2.MID4,,ms,2
F0991/MID1,F0991/MID3,fs,F0991,F0991,943,0,88,F0991.MID1.MID3,,fs,0
F0213/MID4,F0213/MID1,fs,F0213,F0213,201,0,5,F0213.MID4.MID1,,fs,0
F0944/MID1,F0944/MID3,fd,F0944,F0944,896,0,70,F0944.MID1.MID3,,fd,1
F0035/MID1,F0035/MID4,fs,F0035,F0035,30,0,9,F0035.MID1.MID4,,fs,0
F0744/MID2,F0744/MID3,ms,F0744,F0744,700,0,4,F0744.MID2.MID3,,ms,2
F0811/MID5,F0811/MID4,md,F0811,F0811,765,0,12,F0811.MID5.MID4,,md,3
F0153/MID3,F0153/MID4,fs,F0153,F0153,144,0,3,F0153.MID3.MID4,,fs,0
F0064/MID2,F0064/MID4,ms,F0064,F0064,57,0,120,F0064.MID2.MID4,,ms,2
F0892/MID2,F0892/MID3,fd,F0892,F0892,845,0,60,F0892.MID2.MID3,,fd,1
F0209/MID6,F0209/MID7,ms,F0209,F0209,197,0,2,F0209.MID6.MID7,,ms,2
F0501/MID1,F0501/MID5,fs,F0501,F0501,468,0,24,F0501.MID1.MID5,,fs,0
F0715/MID3,F0715/MID1,md,F0715,F0715,671,0,36,F0715.MID3.MID1,,md,3
F0601/MID17,F0601/MID26,md,F0601,F0601,565,0,2,F0601.MID17.MID26,,md,3
F0080/MID3,F0080/MID4,fd,F0080,F0080,73,0,12,F0080.MID3.MID4,,fd,1
F0424/MID2,F0424/MID3,ms,F0424,F0424,396,0,14,F0424.MID2.MID3,,ms,2
F0851/MID1,F0851/MID2,fd,F0851,F0851,805,0,10,F0851.MID1.MID2,,fd,1
F0804/MID6,F0804/MID7,md,F0804,F0804,758,0,3,F0804.MID6.MID7,,md,3
F0084/MID4,F0084/MID3,fd,F0084,F0084,77,0,16,F0084.MID4.MID3,,fd,1
F0612/MID2,F0612/MID1,ms,F0612,F0612,575,0,6,F0612.MID2.MID1,,ms,2
F0672/MID6,F0672/MID2,ms,F0672,F0672,632,0,27,F0672.MID6.MID2,,ms,2
F0466/MID2,F0466/MID3,ms,F0466,F0466,436,0,49,F0466.MID2.MID3,,ms,2
F0738/MID4,F0738/MID7,md,F0738,F0738,694,0,15,F0738.MID4.MID7,,md,3
F0105/MID6,F0105/MID3,ms,F0105,F0105,97,0,12,F0105.MID6.MID3,,ms,2
F0303/MID9,F0303/MID8,md,F0303,F0303,284,0,4,F0303.MID9.MID8,,md,3
F0130/MID3,F0130/MID5,fs,F0130,F0130,122,0,36,F0130.MID3.MID5,,fs,0
F0838/MID1,F0838/MID5,ms,F0838,F0838,792,0,32,F0838.MID1.MID5,,ms,2
F0727/MID1,F0727/MID2,fd,F0727,F0727,683,0,25,F0727.MID1.MID2,,fd,1
F0416/MID3,F0416/MID4,ms,F0416,F0416,388,0,11,F0416.MID3.MID4,,ms,2
F0296/MID3,F0296/MID2,md,F0296,F0296,277,0,26,F0296.MID3.MID2,,md,3
F0991/MID19,F0991/MID11,ms,F0991,F0991,943,0,1,F0991.MID19.MID11,,ms,2
F0701/MID6,F0701/MID9,fs,F0701,F0701,660,0,2,F0701.MID6.MID9,,fs,0
F0661/MID1,F0661/MID3,fd,F0661,F0661,622,0,120,F0661.MID1.MID3,,fd,1
F0084/MID4,F0084/MID2,fd,F0084,F0084,77,0,24,F0084.MID4.MID2,,fd,1
F0368/MID2,F0368/MID7,fd,F0368,F0368,345,0,3,F0368.MID2.MID7,,fd,1
F0991/MID9,F0991/MID1,ms,F0991,F0991,943,0,22,F0991.MID9.MID1,,ms,2
F0319/MID1,F0319/MID3,md,F0319,F0319,298,0,16,F0319.MID1.MID3,,md,3
F0327/MID3,F0327/MID6,fs,F0327,F0327,306,0,4,F0327.MID3.MID6,,fs,0
F0437/MID3,F0437/MID1,md,F0437,F0437,409,0,5,F0437.MID3.MID1,,md,3
F0105/MID1,F0105/MID3,fs,F0105,F0105,97,0,60,F0105.MID1.MID3,,fs,0
F0270/MID3,F0270/MID2,fd,F0270,F0270,253,0,16,F0270.MID3.MID2,,fd,1
F0966/MID1,F0966/MID4,fd,F0966,F0966,918,0,40,F0966.MID1.MID4,,fd,1
F0631/MID5,F0631/MID1,fd,F0631,F0631,593,0,27,F0631.MID5.MID1,,fd,1
F0141/MID1,F0141/MID6,fs,F0141,F0141,132,0,40,F0141.MID1.MID6,,fs,0
F0234/MID1,F0234/MID3,fs,F0234,F0234,219,0,40,F0234.MID1.MID3,,fs,0
F0004/MID3,F0004/MID4,md,F0004,F0004,3,0,40,F0004.MID3.MID4,,md,3
F0795/MID2,F0795/MID1,ms,F0795,F0795,749,0,48,F0795.MID2.MID1,,ms,2
F0173/MID1,F0173/MID5,fs,F0173,F0173,164,0,84,F0173.MID1.MID5,,fs,0
F0911/MID5,F0911/MID6,fd,F0911,F0911,864,0,4,F0911.MID5.MID6,,fd,1
F0439/MID2,F0439/MID6,md,F0439,F0439,411,0,35,F0439.MID2.MID6,,md,3
F0711/MID2,F0711/MID1,fd,F0711,F0711,667,0,160,F0711.MID2.MID1,,fd,1
F0717/MID4,F0717/MID3,md,F0717,F0717,673,0,9,F0717.MID4.MID3,,md,3
F0868/MID1,F0868/MID2,fs,F0868,F0868,821,0,81,F0868.MID1.MID2,,fs,0
F0992/MID12,F0992/MID2,fs,F0992,F0992,944,0,126,F0992.MID12.MID2,,fs,0
F0288/MID2,F0288/MID3,md,F0288,F0288,270,0,9,F0288.MID2.MID3,,md,3
F0664/MID8,F0664/MID7,md,F0664,F0664,625,0,2,F0664.MID8.MID7,,md,3
F0254/MID3,F0254/MID5,md,F0254,F0254,239,0,3,F0254.MID3.MID5,,md,3
F0714/MID2,F0714/MID3,md,F0714,F0714,670,0,70,F0714.MID2.MID3,,md,3
F0683/MID2,F0683/MID3,fd,F0683,F0683,643,0,20,F0683.MID2.MID3,,fd,1
F0237/MID4,F0237/MID2,fd,F0237,F0237,222,0,20,F0237.MID4.MID2,,fd,1
F0601/MID2,F0601/MID5,ms,F0601,F0601,565,0,5810,F0601.MID2.MID5,,ms,2
F0947/MID3,F0947/MID1,fd,F0947,F0947,899,0,49,F0947.MID3.MID1,,fd,1
F0128/MID2,F0128/MID7,ms,F0128,F0128,120,0,42,F0128.MID2.MID7,,ms,2
F0402/MID2,F0402/MID3,md,F0402,F0402,374,0,30,F0402.MID2.MID3,,md,3
F0295/MID5,F0295/MID6,fd,F0295,F0295,276,0,15,F0295.MID5.MID6,,fd,1
F0964/MID3,F0964/MID2,fs,F0964,F0964,916,0,27,F0964.MID3.MID2,,fs,0
F0598/MID6,F0598/MID1,ms,F0598,F0598,562,0,11,F0598.MID6.MID1,,ms,2
F0392/MID2,F0392/MID3,md,F0392,F0392,367,0,35,F0392.MID2.MID3,,md,3
F0770/MID5,F0770/MID2,md,F0770,F0770,726,0,18,F0770.MID5.MID2,,md,3
F0086/MID2,F0086/MID3,md,F0086,F0086,79,0,50,F0086.MID2.MID3,,md,3
F0001/MID2,F0001/MID4,ms,F0001,F0001,0,0,15,F0001.MID2.MID4,,ms,2
F0425/MID1,F0425/MID3,fs,F0425,F0425,397,0,696,F0425.MID1.MID3,,fs,0
F0542/MID4,F0542/MID7,fd,F0542,F0542,509,0,15,F0542.MID4.MID7,,fd,1
F0209/MID1,F0209/MID3,fs,F0209,F0209,197,0,6,F0209.MID1.MID3,,fs,0
F1017/MID1,F1017/MID3,fs,F1017,F1017,961,0,12,F1017.MID1.MID3,,fs,0
F0451/MID2,F0451/MID1,fs,F0451,F0451,423,0,4,F0451.MID2.MID1,,fs,0
F0588/MID1,F0588/MID4,ms,F0588,F0588,553,0,30,F0588.MID1.MID4,,ms,2
F0992/MID3,F0992/MID14,md,F0992,F0992,944,0,26,F0992.MID3.MID14,,md,3
F0704/MID1,F0704/MID4,fd,F0704,F0704,663,0,24,F0704.MID1.MID4,,fd,1
F0439/MID7,F0439/MID1,ms,F0439,F0439,411,0,18,F0439.MID7.MID1,,ms,2
F0798/MID1,F0798/MID4,md,F0798,F0798,752,0,30,F0798.MID1.MID4,,md,3
F0601/MID1,F0601/MID5,fs,F0601,F0601,565,0,1960,F0601.MID1.MID5,,fs,0
F1007/MID1,F1007/MID4,fd,F1007,F1007,958,0,40,F1007.MID1.MID4,,fd,1
F0128/MID2,F0128/MID5,ms,F0128,F0128,120,0,70,F0128.MID2.MID5,,ms,2
F0646/MID1,F0646/MID5,ms,F0646,F0646,607,0,63,F0646.MID1.MID5,,ms,2
F0770/MID1,F0770/MID3,fd,F0770,F0770,726,0,7,F0770.MID1.MID3,,fd,1
F0020/MID9,F0020/MID2,md,F0020,F0020,17,0,2,F0020.MID9.MID2,,md,3
F0664/MID9,F0664/MID6,fs,F0664,F0664,625,0,1,F0664.MID9.MID6,,fs,0
F0325/MID13,F0325/MID14,fs,F0325,F0325,304,0,1,F0325.MID13.MID14,,fs,0
F0339/MID1,F0339/MID4,fd,F0339,F0339,317,0,60,F0339.MID1.MID4,,fd,1
F0061/MID6,F0061/MID7,fs,F0061,F0061,54,0,1,F0061.MID6.MID7,,fs,0
F0262/MID1,F0262/MID6,fd,F0262,F0262,246,0,72,F0262.MID1.MID6,,fd,1
F0749/MID2,F0749/MID3,fs,F0749,F0749,705,0,24,F0749.MID2.MID3,,fs,0
F0661/MID4,F0661/MID3,md,F0661,F0661,622,0,64,F0661.MID4.MID3,,md,3
F0372/MID1,F0372/MID4,fd,F0372,F0372,348,0,60,F0372.MID1.MID4,,fd,1
F0618/MID5,F0618/MID3,fd,F0618,F0618,581,0,2,F0618.MID5.MID3,,fd,1
F0467/MID2,F0467/MID3,fd,F0467,F0467,437,0,8,F0467.MID2.MID3,,fd,1
F0293/MID4,F0293/MID2,md,F0293,F0293,274,0,16,F0293.MID4.MID2,,md,3
F0325/MID2,F0325/MID11,md,F0325,F0325,304,0,6,F0325.MID2.MID11,,md,3
F0918/MID6,F0918/MID4,ms,F0918,F0918,870,0,15,F0918.MID6.MID4,,ms,2
F0188/MID3,F0188/MID1,ms,F0188,F0188,177,0,10,F0188.MID3.MID1,,ms,2
F0561/MID4,F0561/MID5,md,F0561,F0561,527,0,4,F0561.MID4.MID5,,md,3
F0886/MID4,F0886/MID7,fs,F0886,F0886,839,0,3,F0886.MID4.MID7,,fs,0
F0081/MID2,F0081/MID8,md,F0081,F0081,74,0,14,F0081.MID2.MID8,,md,3
F0501/MID2,F0501/MID3,md,F0501,F0501,468,0,35,F0501.MID2.MID3,,md,3
F0701/MID1,F0701/MID8,ms,F0701,F0701,660,0,27,F0701.MID1.MID8,,ms,2
F0672/MID6,F0672/MID3,ms,F0672,F0672,632,0,15,F0672.MID6.MID3,,ms,2
F0467/MID1,F0467/MID3,md,F0467,F0467,437,0,32,F0467.MID1.MID3,,md,3
F0291/MID1,F0291/MID4,ms,F0291,F0291,273,0,20,F0291.MID1.MID4,,ms,2
F0585/MID2,F0585/MID1,md,F0585,F0585,550,0,8,F0585.MID2.MID1,,md,3
F0742/MID6,F0742/MID7,ms,F0742,F0742,698,0,8,F0742.MID6.MID7,,ms,2
F0326/MID2,F0326/MID5,md,F0326,F0326,305,0,24,F0326.MID2.MID5,,md,3
F0076/MID1,F0076/MID4,ms,F0076,F0076,69,0,48,F0076.MID1.MID4,,ms,2
F0641/MID1,F0641/MID3,fs,F0641,F0641,602,0,16,F0641.MID1.MID3,,fs,0
F0425/MID5,F0425/MID1,ms,F0425,F0425,397,0,145,F0425.MID5.MID1,,ms,2
F0506/MID2,F0506/MID3,ms,F0506,F0506,473,0,30,F0506.MID2.MID3,,ms,2
F0651/MID2,F0651/MID4,md,F0651,F0651,612,0,5,F0651.MID2.MID4,,md,3
F0991/MID1,F0991/MID5,fd,F0991,F0991,943,0,88,F0991.MID1.MID5,,fd,1
F0560/MID2,F0560/MID3,ms,F0560,F0560,526,0,60,F0560.MID2.MID3,,ms,2
F0613/MID4,F0613/MID5,fd,F0613,F0613,576,0,1,F0613.MID4.MID5,,fd,1
F0540/MID1,F0540/MID2,fs,F0540,F0540,507,0,24,F0540.MID1.MID2,,fs,0
F0066/MID1,F0066/MID4,fd,F0066,F0066,59,0,66,F0066.MID1.MID4,,fd,1
F0212/MID1,F0212/MID2,fd,F0212,F0212,200,0,48,F0212.MID1.MID2,,fd,1
F0961/MID1,F0961/MID6,fs,F0961,F0961,913,0,24,F0961.MID1.MID6,,fs,0
F0054/MID1,F0054/MID3,fs,F0054,F0054,49,0,80,F0054.MID1.MID3,,fs,0
F0540/MID2,F0540/MID3,fs,F0540,F0540,507,0,4,F0540.MID2.MID3,,fs,0
F1002/MID2,F1002/MID3,ms,F1002,F1002,954,0,77,F1002.MID2.MID3,,ms,2
F0116/MID4,F0116/MID3,ms,F0116,F0116,108,0,6,F0116.MID4.MID3,,ms,2
F0976/MID1,F0976/MID6,fs,F0976,F0976,928,0,57,F0976.MID1.MID6,,fs,0
F0602/MID4,F0602/MID8,md,F0602,F0602,566,0,12,F0602.MID4.MID8,,md,3
F0174/MID3,F0174/MID4,md,F0174,F0174,165,0,24,F0174.MID3.MID4,,md,3
F0590/MID8,F0590/MID1,fd,F0590,F0590,555,0,22,F0590.MID8.MID1,,fd,1
F0105/MID1,F0105/MID4,fs,F0105,F0105,97,0,60,F0105.MID1.MID4,,fs,0
F0696/MID4,F0696/MID6,ms,F0696,F0696,656,0,36,F0696.MID4.MID6,,ms,2
F0942/MID2,F0942/MID3,md,F0942,F0942,894,0,27,F0942.MID2.MID3,,md,3
F0954/MID2,F0954/MID3,ms,F0954,F0954,906,0,56,F0954.MID2.MID3,,ms,2
F0961/MID7,F0961/MID6,ms,F0961,F0961,913,0,8,F0961.MID7.MID6,,ms,2
F0622/MID3,F0622/MID1,ms,F0622,F0622,584,0,64,F0622.MID3.MID1,,ms,2
F0878/MID2,F0878/MID5,md,F0878,F0878,831,0,8,F0878.MID2.MID5,,md,3
F0897/MID3,F0897/MID4,ms,F0897,F0897,850,0,2,F0897.MID3.MID4,,ms,2
F0802/MID6,F0802/MID1,fs,F0802,F0802,756,0,4,F0802.MID6.MID1,,fs,0
F0377/MID2,F0377/MID6,fs,F0377,F0377,353,0,7,F0377.MID2.MID6,,fs,0
F0387/MID1,F0387/MID5,md,F0387,F0387,362,0,16,F0387.MID1.MID5,,md,3
F0035/MID1,F0035/MID2,fs,F0035,F0035,30,0,54,F0035.MID1.MID2,,fs,0
F0362/MID1,F0362/MID5,fs,F0362,F0362,339,0,32,F0362.MID1.MID5,,fs,0
F0590/MID2,F0590/MID4,fd,F0590,F0590,555,0,10,F0590.MID2.MID4,,fd,1
F0327/MID3,F0327/MID4,fd,F0327,F0327,306,0,4,F0327.MID3.MID4,,fd,1
F0918/MID1,F0918/MID4,fs,F0918,F0918,870,0,45,F0918.MID1.MID4,,fs,0
F0297/MID2,F0297/MID3,fd,F0297,F0297,278,0,48,F0297.MID2.MID3,,fd,1
F0985/MID2,F0985/MID3,md,F0985,F0985,937,0,7,F0985.MID2.MID3,,md,3
F0156/MID2,F0156/MID5,ms,F0156,F0156,147,0,3,F0156.MID2.MID5,,ms,2
F0013/MID3,F0013/MID6,fs,F0013,F0013,12,0,2,F0013.MID3.MID6,,fs,0
F0494/MID2,F0494/MID4,md,F0494,F0494,463,0,49,F0494.MID2.MID4,,md,3
F0552/MID7,F0552/MID10,ms,F0552,F0552,519,0,1,F0552.MID7.MID10,,ms,2
F0216/MID2,F0216/MID4,ms,F0216,F0216,204,0,12,F0216.MID2.MID4,,ms,2
F0117/MID2,F0117/MID3,ms,F0117,F0117,109,0,18,F0117.MID2.MID3,,ms,2
F0150/MID1,F0150/MID3,fs,F0150,F0150,141,0,12,F0150.MID1.MID3,,fs,0
F0848/MID5,F0848/MID2,md,F0848,F0848,802,0,70,F0848.MID5.MID2,,md,3
F0579/MID1,F0579/MID3,ms,F0579,F0579,544,0,8,F0579.MID1.MID3,,ms,2
F0284/MID3,F0284/MID1,md,F0284,F0284,266,0,54,F0284.MID3.MID1,,md,3
F0209/MID1,F0209/MID4,fs,F0209,F0209,197,0,6,F0209.MID1.MID4,,fs,0
F0598/MID5,F0598/MID4,md,F0598,F0598,562,0,40,F0598.MID5.MID4,,md,3
F0565/MID2,F0565/MID4,md,F0565,F0565,531,0,15,F0565.MID2.MID4,,md,3
F0073/MID7,F0073/MID5,fs,F0073,F0073,66,0,15,F0073.MID7.MID5,,fs,0
F0466/MID1,F0466/MID4,fd,F0466,F0466,436,0,16,F0466.MID1.MID4,,fd,1
F0845/MID2,F0845/MID3,md,F0845,F0845,799,0,36,F0845.MID2.MID3,,md,3
F1007/MID1,F1007/MID7,fs,F1007,F1007,958,0,48,F1007.MID1.MID7,,fs,0
F0506/MID1,F0506/MID4,fs,F0506,F0506,473,0,63,F0506.MID1.MID4,,fs,0
F0576/MID3,F0576/MID4,md,F0576,F0576,542,0,63,F0576.MID3.MID4,,md,3
F0992/MID2,F0992/MID14,fd,F0992,F0992,944,0,28,F0992.MID2.MID14,,fd,1
F0592/MID2,F0592/MID3,ms,F0592,F0592,557,0,36,F0592.MID2.MID3,,ms,2
F0326/MID2,F0326/MID6,md,F0326,F0326,305,0,20,F0326.MID2.MID6,,md,3
F0208/MID1,F0208/MID3,fs,F0208,F0208,196,0,20,F0208.MID1.MID3,,fs,0
F0066/MID2,F0066/MID5,md,F0066,F0066,59,0,99,F0066.MID2.MID5,,md,3
F0778/MID4,F0778/MID3,ms,F0778,F0778,733,0,5,F0778.MID4.MID3,,ms,2
F0763/MID1,F0763/MID5,fs,F0763,F0763,719,0,39,F0763.MID1.MID5,,fs,0
F0315/MID4,F0315/MID2,fs,F0315,F0315,294,0,3,F0315.MID4.MID2,,fs,0
F0976/MID2,F0976/MID4,ms,F0976,F0976,928,0,10,F0976.MID2.MID4,,ms,2
F0229/MID2,F0229/MID3,md,F0229,F0229,215,0,63,F0229.MID2.MID3,,md,3
F0549/MID4,F0549/MID2,ms,F0549,F0549,516,0,18,F0549.MID4.MID2,,ms,2
F0622/MID2,F0622/MID1,fs,F0622,F0622,584,0,176,F0622.MID2.MID1,,fs,0
F0974/MID1,F0974/MID5,fd,F0974,F0974,926,0,36,F0974.MID1.MID5,,fd,1
F0337/MID4,F0337/MID5,ms,F0337,F0337,315,0,1,F0337.MID4.MID5,,ms,2
F0980/MID1,F0980/MID2,md,F0980,F0980,932,0,70,F0980.MID1.MID2,,md,3
F0326/MID4,F0326/MID5,fd,F0326,F0326,305,0,12,F0326.MID4.MID5,,fd,1
